latitude,longitude,mag,latlon
34.5437,104.2362,4.6,"104.2362,34.5437"
33.001999999999995,104.92,4.6,"104.92,33.001999999999995"
34.529,104.176,5.4,"104.176,34.529"
34.551,104.39200000000001,4.9,"104.39200000000001,34.551"
34.512,104.262,5.9,"104.262,34.512"
25.9,99.009,4.7,"99.009,25.9"
29.214000000000002,100.072,4.7,"100.072,29.214000000000002"
32.515,105.163,4.7,"105.163,32.515"
30.339000000000002,102.984,4.6,"102.984,30.339000000000002"
31.711,104.18,4.7,"104.18,31.711"
28.381999999999998,104.956,5.3,"104.956,28.381999999999998"
30.288,103.156,4.7,"103.156,30.288"
30.396,103.021,4.6,"103.021,30.396"
30.236,102.96799999999999,4.5,"102.96799999999999,30.236"
30.229,102.962,4.6,"102.962,30.229"
30.316999999999997,102.99799999999999,5.2,"102.99799999999999,30.316999999999997"
30.225,103.015,5.0,"103.015,30.225"
30.339000000000002,103.06,5.1,"103.06,30.339000000000002"
30.36,103.084,4.6,"103.084,30.36"
30.21,102.92200000000001,4.5,"102.92200000000001,30.21"
30.194000000000003,102.993,4.6,"102.993,30.194000000000003"
30.366,103.051,4.8,"103.051,30.366"
30.394000000000002,103.133,4.5,"103.133,30.394000000000002"
30.372,102.985,4.5,"102.985,30.372"
30.186999999999998,102.95,5.1,"102.95,30.186999999999998"
30.272,103.111,4.6,"103.111,30.272"
30.326999999999998,103.05,4.5,"103.05,30.326999999999998"
30.151,102.95200000000001,4.8,"102.95200000000001,30.151"
30.281999999999996,102.99799999999999,5.1,"102.99799999999999,30.281999999999996"
30.34,103.04899999999999,4.6,"103.04899999999999,30.34"
30.287,103.05799999999999,4.8,"103.05799999999999,30.287"
30.209,102.86200000000001,5.0,"102.86200000000001,30.209"
30.263,102.97,4.6,"102.97,30.263"
30.255,102.991,4.9,"102.991,30.255"
30.215,102.969,4.8,"102.969,30.215"
30.401,103.119,4.8,"103.119,30.401"
30.308000000000003,102.88799999999999,6.6,"102.88799999999999,30.308000000000003"
25.953000000000003,99.78200000000001,5.1,"99.78200000000001,25.953000000000003"
31.338,103.738,4.5,"103.738,31.338"
25.98,99.81200000000001,5.2,"99.81200000000001,25.98"
31.289,105.221,4.9,"105.221,31.289"
28.373,104.95700000000001,4.7,"104.95700000000001,28.373"
27.226,103.071,4.9,"103.071,27.226"
28.004,104.23700000000001,4.6,"104.23700000000001,28.004"
31.515,103.37700000000001,4.5,"103.37700000000001,31.515"
31.055999999999997,99.546,5.4,"99.546,31.055999999999997"
29.348000000000003,105.271,4.6,"105.271,29.348000000000003"
27.103,102.86,4.9,"102.86,27.103"
31.87,104.28,4.8,"104.28,31.87"
26.601,102.76299999999999,4.7,"102.76299999999999,26.601"
29.336,105.25399999999999,4.9,"105.25399999999999,29.336"
29.291,105.32700000000001,4.6,"105.32700000000001,29.291"
27.636,104.027,4.7,"104.027,27.636"
27.683000000000003,104.145,4.7,"104.145,27.683000000000003"
27.572,104.007,5.3,"104.007,27.572"
27.576,104.051,4.8,"104.051,27.576"
27.575,103.98299999999999,5.5,"103.98299999999999,27.575"
28.453000000000003,104.87899999999999,4.6,"104.87899999999999,28.453000000000003"
30.884,103.512,4.6,"103.512,30.884"
29.307,102.973,4.8,"102.973,29.307"
27.767,100.781,5.5,"100.781,27.767"
28.111,104.416,4.7,"104.416,28.111"
31.543000000000003,104.117,4.6,"104.117,31.543000000000003"
29.318,100.088,4.9,"100.088,29.318"
31.279,103.81,4.8,"103.81,31.279"
32.661,105.479,4.6,"105.479,32.661"
27.408,103.348,4.6,"103.348,27.408"
30.163,97.50299999999999,4.7,"97.50299999999999,30.163"
30.118000000000002,97.41799999999999,4.8,"97.41799999999999,30.118000000000002"
34.538000000000004,104.17200000000001,5.0,"104.17200000000001,34.538000000000004"
32.531,105.319,5.0,"105.319,32.531"
32.28,104.819,4.8,"104.819,32.28"
31.194000000000003,103.765,4.5,"103.765,31.194000000000003"
26.521,96.74799999999999,4.5,"96.74799999999999,26.521"
29.326,101.081,4.7,"101.081,29.326"
31.835,104.208,4.8,"104.208,31.835"
32.503,105.421,5.0,"105.421,32.503"
31.243000000000002,103.727,4.7,"103.727,31.243000000000002"
33.768,98.941,4.5,"98.941,33.768"
26.686,103.05799999999999,4.8,"103.05799999999999,26.686"
31.373,100.757,5.4,"100.757,31.373"
31.563000000000002,104.15899999999999,4.7,"104.15899999999999,31.563000000000002"
34.415,103.85700000000001,4.6,"103.85700000000001,34.415"
27.255,103.02799999999999,4.8,"103.02799999999999,27.255"
32.205,104.477,4.8,"104.477,32.205"
27.234,103.04899999999999,4.6,"103.04899999999999,27.234"
32.496,105.21600000000001,4.8,"105.21600000000001,32.496"
30.114,99.56700000000001,4.6,"99.56700000000001,30.114"
32.121,104.648,4.7,"104.648,32.121"
28.031,104.212,5.0,"104.212,28.031"
29.335,105.47200000000001,4.7,"105.47200000000001,29.335"
27.197,103.005,4.9,"103.005,27.197"
26.329,96.99799999999999,4.6,"96.99799999999999,26.329"
32.313,104.90799999999999,4.8,"104.90799999999999,32.313"
31.807,104.22399999999999,4.9,"104.22399999999999,31.807"
31.151999999999997,103.54700000000001,5.0,"103.54700000000001,31.151999999999997"
30.432,101.42399999999999,5.1,"101.42399999999999,30.432"
33.061,96.647,4.9,"96.647,33.061"
33.016999999999996,96.946,4.6,"96.946,33.016999999999996"
33.071,96.617,5.0,"96.617,33.071"
32.955,97.09899999999999,4.5,"97.09899999999999,32.955"
33.126,96.546,5.2,"96.546,33.126"
32.891999999999996,96.814,4.9,"96.814,32.891999999999996"
32.925,96.86,5.4,"96.86,32.925"
33.165,96.54799999999999,6.9,"96.54799999999999,33.165"
33.16,96.712,4.9,"96.712,33.16"
31.215999999999998,103.546,4.7,"103.546,31.215999999999998"
31.915,104.375,4.5,"104.375,31.915"
32.302,105.171,5.0,"105.171,32.302"
31.204,103.62200000000001,4.5,"103.62200000000001,31.204"
30.268,105.66799999999999,5.1,"105.66799999999999,30.268"
26.29,99.866,5.0,"99.866,26.29"
27.151,100.895,4.5,"100.895,27.151"
31.186,103.787,4.9,"103.787,31.186"
30.959,103.38600000000001,4.6,"103.38600000000001,30.959"
28.955,105.641,4.6,"105.641,28.955"
25.962,100.825,4.9,"100.825,25.962"
32.522,105.238,5.2,"105.238,32.522"
34.898,99.45700000000001,5.1,"99.45700000000001,34.898"
31.971,104.61,5.1,"104.61,31.971"
32.838,105.51899999999999,4.9,"105.51899999999999,32.838"
31.765,104.181,4.6,"104.181,31.765"
31.419,104.09200000000001,4.5,"104.09200000000001,31.419"
31.392,104.137,4.9,"104.137,31.392"
31.500999999999998,104.088,4.9,"104.088,31.500999999999998"
31.464000000000002,104.111,4.9,"104.111,31.464000000000002"
31.515,104.148,4.7,"104.148,31.515"
31.426,104.012,5.3,"104.012,31.426"
32.291,104.914,4.5,"104.914,32.291"
25.961,99.90700000000001,4.7,"99.90700000000001,25.961"
25.967,99.944,4.9,"99.944,25.967"
31.813000000000002,104.29799999999999,4.7,"104.29799999999999,31.813000000000002"
26.982,104.139,4.7,"104.139,26.982"
32.203,105.09100000000001,4.8,"105.09100000000001,32.203"
32.385999999999996,105.096,5.3,"105.096,32.385999999999996"
32.259,104.986,4.6,"104.986,32.259"
31.799,104.792,5.1,"104.792,31.799"
31.862,104.436,4.6,"104.436,31.862"
31.378,103.945,4.7,"103.945,31.378"
30.883000000000003,103.273,4.9,"103.273,30.883000000000003"
31.184,103.321,4.8,"103.321,31.184"
32.125,104.836,4.5,"104.836,32.125"
31.903000000000002,104.186,4.7,"104.186,31.903000000000002"
32.275,105.098,5.0,"105.098,32.275"
31.274,103.215,4.6,"103.215,31.274"
26.980999999999998,102.56700000000001,4.6,"102.56700000000001,26.980999999999998"
32.518,105.395,5.1,"105.395,32.518"
31.916999999999998,104.19200000000001,4.5,"104.19200000000001,31.916999999999998"
31.619,104.369,4.6,"104.369,31.619"
31.186,103.348,4.8,"103.348,31.186"
31.177,103.834,4.8,"103.834,31.177"
32.139,104.75299999999999,5.0,"104.75299999999999,32.139"
32.802,105.49700000000001,4.7,"105.49700000000001,32.802"
32.037,102.97,4.7,"102.97,32.037"
32.056,104.479,4.9,"104.479,32.056"
31.779,104.416,4.8,"104.416,31.779"
31.374000000000002,104.315,4.5,"104.315,31.374000000000002"
31.381999999999998,103.911,4.6,"103.911,31.381999999999998"
32.453,105.262,4.8,"105.262,32.453"
31.558000000000003,104.083,4.5,"104.083,31.558000000000003"
31.116999999999997,103.61200000000001,4.6,"103.61200000000001,31.116999999999997"
31.18,103.73899999999999,4.5,"103.73899999999999,31.18"
29.314,104.809,4.6,"104.809,29.314"
31.82,104.09700000000001,4.7,"104.09700000000001,31.82"
31.575,103.977,4.6,"103.977,31.575"
26.33,101.82600000000001,4.7,"101.82600000000001,26.33"
31.151,103.693,4.5,"103.693,31.151"
32.911,105.62899999999999,5.1,"105.62899999999999,32.911"
32.375,105.26899999999999,4.9,"105.26899999999999,32.375"
26.237,102.012,4.7,"102.012,26.237"
26.232,101.97,5.6,"101.97,26.232"
26.241,101.889,6.0,"101.889,26.241"
32.675,105.975,4.6,"105.975,32.675"
30.968000000000004,103.38600000000001,4.6,"103.38600000000001,30.968000000000004"
32.489000000000004,105.439,4.5,"105.439,32.489000000000004"
31.868000000000002,104.227,5.0,"104.227,31.868000000000002"
26.795,97.09299999999999,4.5,"97.09299999999999,26.795"
32.735,105.51100000000001,4.6,"105.51100000000001,32.735"
31.491999999999997,104.03399999999999,4.6,"104.03399999999999,31.491999999999997"
32.138000000000005,104.63600000000001,4.9,"104.63600000000001,32.138000000000005"
32.793,105.62799999999999,4.5,"105.62799999999999,32.793"
32.834,105.413,4.5,"105.413,32.834"
32.66,105.52600000000001,4.7,"105.52600000000001,32.66"
32.774,105.53,4.8,"105.53,32.774"
32.756,105.494,6.0,"105.494,32.756"
32.942,105.682,4.5,"105.682,32.942"
32.44,105.22399999999999,4.9,"105.22399999999999,32.44"
32.033,104.72200000000001,5.7,"104.72200000000001,32.033"
31.273000000000003,103.833,4.6,"103.833,31.273000000000003"
32.763000000000005,105.51700000000001,4.5,"105.51700000000001,32.763000000000005"
30.826,103.396,4.6,"103.396,30.826"
32.747,105.542,5.7,"105.542,32.747"
32.779,105.48700000000001,4.8,"105.48700000000001,32.779"
32.751999999999995,105.49799999999999,5.5,"105.49799999999999,32.751999999999995"
32.463,105.07,4.5,"105.07,32.463"
31.643,104.197,5.1,"104.197,31.643"
31.561999999999998,104.116,5.0,"104.116,31.561999999999998"
32.257,105.056,4.6,"105.056,32.257"
31.456999999999997,103.948,4.8,"103.948,31.456999999999997"
31.529,104.185,4.8,"104.185,31.529"
31.616,104.258,4.7,"104.258,31.616"
31.851,104.279,4.7,"104.279,31.851"
31.393,103.96799999999999,4.5,"103.96799999999999,31.393"
32.318000000000005,105.029,4.5,"105.029,32.318000000000005"
32.111,104.69,4.6,"104.69,32.111"
32.297,105.00200000000001,4.8,"105.00200000000001,32.297"
31.485,103.387,4.7,"103.387,31.485"
30.881,103.11399999999999,4.5,"103.11399999999999,30.881"
31.209,103.882,4.6,"103.882,31.209"
32.242,104.43700000000001,4.7,"104.43700000000001,32.242"
31.121,103.65299999999999,4.6,"103.65299999999999,31.121"
32.769,105.564,4.8,"105.564,32.769"
31.71,104.27600000000001,4.6,"104.27600000000001,31.71"
31.183000000000003,103.561,4.6,"103.561,31.183000000000003"
29.313000000000002,102.45100000000001,4.5,"102.45100000000001,29.313000000000002"
31.118000000000002,103.4,4.5,"103.4,31.118000000000002"
32.231,104.863,4.5,"104.863,32.231"
32.760999999999996,105.554,4.8,"105.554,32.760999999999996"
31.636999999999997,104.161,4.7,"104.161,31.636999999999997"
31.066999999999997,103.652,4.6,"103.652,31.066999999999997"
31.585,104.166,4.5,"104.166,31.585"
30.896,103.291,4.8,"103.291,30.896"
31.311,103.708,4.9,"103.708,31.311"
31.819000000000003,104.24,4.8,"104.24,31.819000000000003"
32.501999999999995,105.163,4.9,"105.163,32.501999999999995"
32.306,105.50200000000001,4.6,"105.50200000000001,32.306"
31.143,103.464,4.7,"103.464,31.143"
31.234,103.699,4.5,"103.699,31.234"
31.089000000000002,103.495,4.5,"103.495,31.089000000000002"
31.153000000000002,103.695,4.6,"103.695,31.153000000000002"
32.639,105.523,4.7,"105.523,32.639"
32.349000000000004,105.005,5.2,"105.005,32.349000000000004"
32.292,105.177,4.5,"105.177,32.292"
30.906999999999996,103.56700000000001,4.8,"103.56700000000001,30.906999999999996"
32.067,104.602,5.0,"104.602,32.067"
31.303,103.848,4.5,"103.848,31.303"
31.615,103.774,4.5,"103.774,31.615"
31.721999999999998,104.186,4.6,"104.186,31.721999999999998"
30.906,103.45,4.5,"103.45,30.906"
31.822,104.18799999999999,4.6,"104.18799999999999,31.822"
32.578,105.477,4.5,"105.477,32.578"
32.333,105.057,4.6,"105.057,32.333"
31.085,103.512,4.8,"103.512,31.085"
32.641,105.37200000000001,4.9,"105.37200000000001,32.641"
31.451999999999998,104.037,4.6,"104.037,31.451999999999998"
32.67,105.382,5.0,"105.382,32.67"
32.075,104.52799999999999,4.5,"104.52799999999999,32.075"
32.505,105.1,4.7,"105.1,32.505"
32.71,105.54,5.7,"105.54,32.71"
32.664,104.956,4.7,"104.956,32.664"
32.699,105.53299999999999,5.2,"105.53299999999999,32.699"
31.331999999999997,104.06200000000001,4.5,"104.06200000000001,31.331999999999997"
31.343000000000004,103.973,4.5,"103.973,31.343000000000004"
31.228,103.68799999999999,4.8,"103.68799999999999,31.228"
30.855,103.353,4.6,"103.353,30.855"
31.048000000000002,103.639,4.7,"103.639,31.048000000000002"
33.071,104.955,4.8,"104.955,33.071"
31.416999999999998,103.956,4.5,"103.956,31.416999999999998"
32.56,105.42299999999999,6.1,"105.42299999999999,32.56"
31.932,104.509,4.6,"104.509,31.932"
32.259,105.066,4.5,"105.066,32.259"
31.156999999999996,103.876,4.6,"103.876,31.156999999999996"
31.238000000000003,103.662,4.8,"103.662,31.238000000000003"
31.083000000000002,103.79799999999999,4.9,"103.79799999999999,31.083000000000002"
32.187,104.94,4.5,"104.94,32.187"
31.404,103.977,4.6,"103.977,31.404"
32.336999999999996,105.074,4.5,"105.074,32.336999999999996"
31.805999999999997,104.27600000000001,4.6,"104.27600000000001,31.805999999999997"
31.592,104.15,4.7,"104.15,31.592"
32.225,105.005,4.9,"105.005,32.225"
32.451,105.272,5.2,"105.272,32.451"
32.402,105.042,5.0,"105.042,32.402"
31.193,103.09200000000001,4.5,"103.09200000000001,31.193"
31.217,103.595,4.5,"103.595,31.217"
31.668000000000003,104.41,4.6,"104.41,31.668000000000003"
30.855999999999998,103.546,4.5,"103.546,30.855999999999998"
32.24,104.98200000000001,5.8,"104.98200000000001,32.24"
31.998,104.70200000000001,4.8,"104.70200000000001,31.998"
32.256,105.204,4.7,"105.204,32.256"
31.29,103.665,5.0,"103.665,31.29"
32.51,105.32799999999999,4.5,"105.32799999999999,32.51"
31.104,103.60600000000001,4.9,"103.60600000000001,31.104"
31.595,104.086,4.5,"104.086,31.595"
32.508,105.219,4.5,"105.219,32.508"
31.355,103.351,5.6,"103.351,31.355"
31.383000000000003,104.005,4.8,"104.005,31.383000000000003"
31.314,104.023,4.9,"104.023,31.314"
