latitude,longitude,mag,latlon
10.9378,93.5415,4.6,"93.5415,10.9378"
38.6414,15.2673,4.5,"15.2673,38.6414"
37.682,141.746,4.8,"141.746,37.682"
-56.117,-27.326,5.3,"-27.326,-56.117"
50.06,0.27,4.6,"0.27,50.06"
-3.935,134.056,4.8,"134.056,-3.935"
-34.012,-14.692,4.5,"-14.692,-34.012"
28.1851,103.7061,4.7,"103.7061,28.1851"
13.268,143.724,5.4,"143.724,13.268"
5.591,127.086,5.1,"127.086,5.591"
-1.6909999999999998,134.281,5.2,"134.281,-1.6909999999999998"
-24.212,-67.087,4.7,"-67.087,-24.212"
-37.024,-17.205,4.6,"-17.205,-37.024"
-55.8176,-26.8003,4.5,"-26.8003,-55.8176"
-5.8279999999999985,151.593,4.6,"151.593,-5.8279999999999985"
-60.37600000000001,-25.156,4.5,"-25.156,-60.37600000000001"
-3.762,140.204,4.9,"140.204,-3.762"
-23.1843,-174.6684,4.7,"-174.6684,-23.1843"
15.704,-92.29,4.7,"-92.29,15.704"
-5.412000000000001,130.93200000000002,4.8,"130.93200000000002,-5.412000000000001"
-55.324,-27.937,4.6,"-27.937,-55.324"
69.6662,-144.7349,4.7,"-144.7349,69.6662"
1.4075,126.2834,5.0,"126.2834,1.4075"
13.427,145.95600000000005,4.8,"145.95600000000005,13.427"
54.3254,168.9694,4.6,"168.9694,54.3254"
14.14,146.814,4.5,"146.814,14.14"
-34.698,-72.892,4.7,"-72.892,-34.698"
-9.224,154.079,4.9,"154.079,-9.224"
26.066,128.58100000000002,4.5,"128.58100000000002,26.066"
8.061,94.727,4.7,"94.727,8.061"
-17.468,-173.114,4.7,"-173.114,-17.468"
44.9552,-27.9947,4.7,"-27.9947,44.9552"
-0.299,-20.776,5.2,"-20.776,-0.299"
-18.905,-177.342,5.7,"-177.342,-18.905"
31.827,72.21,4.5,"72.21,31.827"
15.777,-93.331,4.5,"-93.331,15.777"
-20.159,-68.933,4.5,"-68.933,-20.159"
-1.6909999999999998,99.661,4.9,"99.661,-1.6909999999999998"
-7.94,156.364,4.9,"156.364,-7.94"
-11.583,166.018,4.6,"166.018,-11.583"
-17.302,-72.593,5.1,"-72.593,-17.302"
39.463,94.384,4.7,"94.384,39.463"
-45.17,166.86,4.5,"166.86,-45.17"
17.719,-103.177,4.7,"-103.177,17.719"
-58.317,-23.363000000000003,4.8,"-23.363000000000003,-58.317"
-31.253,-176.98,5.3,"-176.98,-31.253"
-5.787000000000001,123.309,5.2,"123.309,-5.787000000000001"
-14.425,-76.031,4.5,"-76.031,-14.425"
5.424,126.703,4.8,"126.703,5.424"
15.4651,147.8264,4.6,"147.8264,15.4651"
-7.937,125.667,4.6,"125.667,-7.937"
38.429,43.229,5.6,"43.229,38.429"
7.2689,-76.7914,4.5,"-76.7914,7.2689"
-2.9798,129.5644,4.8,"129.5644,-2.9798"
53.685,-159.882,5.0,"-159.882,53.685"
-24.568,-175.102,4.6,"-175.102,-24.568"
-34.5105,-179.8219,4.9,"-179.8219,-34.5105"
44.5997,124.1479,4.9,"124.1479,44.5997"
19.083,121.187,5.5,"121.187,19.083"
14.89,147.714,4.8,"147.714,14.89"
13.091,144.0479,4.5,"144.0479,13.091"
-16.986,-174.127,4.9,"-174.127,-16.986"
28.598000000000006,142.776,4.5,"142.776,28.598000000000006"
37.086,142.249,4.5,"142.249,37.086"
-55.7508,-28.3561,4.8,"-28.3561,-55.7508"
3.035,97.399,4.8,"97.399,3.035"
-9.673,159.424,4.6,"159.424,-9.673"
-10.5372,-70.9437,7.6,"-70.9437,-10.5372"
-14.765999999999998,-70.497,5.8,"-70.497,-14.765999999999998"
38.19,141.57299999999995,5.2,"141.57299999999995,38.19"
-3.914,126.217,4.6,"126.217,-3.914"
-16.883,-173.581,5.2,"-173.581,-16.883"
-33.1415,-178.9755,4.6,"-178.9755,-33.1415"
36.158,71.097,4.6,"71.097,36.158"
-32.66,-71.64399999999998,5.0,"-71.64399999999998,-32.66"
17.223,120.1981,4.5,"120.1981,17.223"
-0.42,98.651,4.6,"98.651,-0.42"
-33.1567,-178.3683,4.5,"-178.3683,-33.1567"
-7.466,-75.69,4.8,"-75.69,-7.466"
36.595,142.847,4.7,"142.847,36.595"
2.205,-79.817,4.5,"-79.817,2.205"
41.9521,142.3478,4.6,"142.3478,41.9521"
0.4582,126.4248,4.5,"126.4248,0.4582"
-23.585,-66.541,4.9,"-66.541,-23.585"
13.893,92.672,4.5,"92.672,13.893"
-18.148,-178.17,4.6,"-178.17,-18.148"
28.98,60.13,4.8,"60.13,28.98"
-16.764,167.9,4.7,"167.9,-16.764"
-44.46100000000001,-81.834,4.5,"-81.834,-44.46100000000001"
-16.334,-178.858,4.5,"-178.858,-16.334"
-11.4373,163.0059,4.6,"163.0059,-11.4373"
32.6909,130.7685,4.6,"130.7685,32.6909"
-11.143,165.5951,4.6,"165.5951,-11.143"
27.64,56.14,5.0,"56.14,27.64"
34.441,20.182,5.2,"20.182,34.441"
-6.665,155.123,5.0,"155.123,-6.665"
-32.738,-178.331,4.9,"-178.331,-32.738"
-17.563,-179.05,4.5,"-179.05,-17.563"
