time,latitude,longitude,depth,mag,magType,id,place,type,status,region,influence
2004-07-15 04:27:14.730000+00:00,-17.656,-178.76,565.5,7.1,mwc,usp000d06s,Fiji region,earthquake,reviewed,Fiji region,7.1
2011-06-24 03:09:39.470000+00:00,52.05,-171.83599999999996,52.0,7.3,mww,usp000j3mq,"Fox Islands, Aleutian Islands, Alaska",earthquake,reviewed,Alaska,7.3
2011-04-07 14:32:43.290000+00:00,38.276,141.588,42.0,7.1,mww,usp000hzf6,"near the east coast of Honshu, Japan",earthquake,reviewed,Japan,7.1
2011-03-11 06:25:50.300000+00:00,38.058,144.59,18.6,7.7,mwc,usp000hvpg,"off the east coast of Honshu, Japan",earthquake,reviewed,Japan,7.7
2011-03-11 06:15:40.280000+00:00,36.281,141.111,42.6,7.9,mwc,usp000hvpa,"near the east coast of Honshu, Japan",earthquake,reviewed,Japan,7.9
2011-03-11 05:46:24.120000+00:00,38.297,142.373,29.0,9.1,mww,official20110311054624120_30,"2011 Great Tohoku Earthquake, Japan",earthquake,reviewed,Japan,9.1
2011-03-09 02:45:20.330000+00:00,38.435,142.842,32.0,7.3,mww,usp000hvhj,"near the east coast of Honshu, Japan",earthquake,reviewed,Japan,7.3
2011-01-18 20:23:23.480000+00:00,28.777,63.951,68.0,7.2,mww,usp000htb4,southwestern Pakistan,earthquake,reviewed,southwestern Pakistan,7.2
2011-01-02 20:20:17.780000+00:00,-38.355,-73.32600000000002,24.0,7.2,mww,usp000hsfq,"Araucania, Chile",earthquake,reviewed,Chile,7.2
2010-12-25 13:16:37+00:00,-19.702,167.947,16.0,7.3,mwc,usp000hrw0,Vanuatu region,earthquake,reviewed,Vanuatu region,7.3
2010-12-21 17:19:40.660000+00:00,26.901,143.69799999999995,14.0,7.4,mwc,usp000hr97,"Bonin Islands, Japan region",earthquake,reviewed,Japan region,8.4
2010-10-25 14:42:22.460000+00:00,-3.487,100.082,20.1,7.8,mwc,usp000hnj4,"Kepulauan Mentawai region, Indonesia",earthquake,reviewed,Indonesia,7.8
2010-08-12 11:54:15.580000+00:00,-1.266,-77.306,206.7,7.1,mwc,usp000hj05,Ecuador,earthquake,reviewed,Ecuador,7.1
2010-08-10 05:23:44.980000+00:00,-17.541,168.06900000000005,25.0,7.3,mwc,usp000hhuc,Vanuatu,earthquake,reviewed,Vanuatu,7.3
2010-07-23 23:15:10.190000+00:00,6.776,123.259,640.6,7.5,mwc,usp000hgmq,"Moro Gulf, Mindanao, Philippines",earthquake,reviewed,Philippines,7.5
2010-07-23 22:51:11.840000+00:00,6.497000000000001,123.48,578.0,7.6,mwc,usp000hgmh,"Moro Gulf, Mindanao, Philippines",earthquake,reviewed,Philippines,7.6
2010-07-23 22:08:11.250000+00:00,6.718,123.409,607.1,7.3,mwc,usp000hgmd,"Moro Gulf, Mindanao, Philippines",earthquake,reviewed,Philippines,7.3
2010-07-18 13:34:59.360000+00:00,-5.931,150.59,35.0,7.3,mwc,usp000hfku,"New Britain region, Papua New Guinea",earthquake,reviewed,Papua New Guinea,7.3
2012-04-11 10:43:10.850000+00:00,0.802,92.463,25.1,8.2,mwc,usp000jhjb,off the west coast of northern Sumatra,earthquake,reviewed,off the west coast of northern Sumatra,8.2
2012-04-11 08:38:36.720000+00:00,2.327,93.063,20.0,8.6,mw,official20120411083836720_20,off the west coast of northern Sumatra,earthquake,reviewed,off the west coast of northern Sumatra,8.6
2012-03-25 22:37:06+00:00,-35.2,-72.217,40.7,7.1,mww,usp000jgsw,"Maule, Chile",earthquake,reviewed,Chile,7.1
2012-03-20 18:02:47.440000+00:00,16.493,-98.231,20.0,7.4,mww,usp000jghj,"Oaxaca, Mexico",earthquake,reviewed,Mexico,7.4
2012-02-02 13:34:40.650000+00:00,-17.827,167.13299999999995,23.0,7.1,mww,usp000jeag,Vanuatu,earthquake,reviewed,Vanuatu,7.1
2012-01-10 18:36:59.080000+00:00,2.4330000000000003,93.21,19.0,7.2,mww,usp000jdar,off the west coast of northern Sumatra,earthquake,reviewed,off the west coast of northern Sumatra,7.2
2011-12-14 05:04:58.630000+00:00,-7.551,146.809,135.0,7.1,mww,usp000jc5z,"eastern New Guinea region, Papua New Guinea",earthquake,reviewed,Papua New Guinea,7.1
2011-10-23 10:41:23.250000+00:00,38.721,43.508,18.0,7.1,mww,usp000j9rr,eastern Turkey,earthquake,reviewed,eastern Turkey,7.1
2011-10-21 17:57:16.100000+00:00,-28.993,-176.238,33.0,7.4,mww,usp000j9nm,Kermadec Islands region,earthquake,reviewed,Kermadec Islands region,7.4
2011-09-15 19:31:04.080000+00:00,-21.611,-179.528,644.6,7.3,mww,usp000j83e,Fiji region,earthquake,reviewed,Fiji region,7.3
2011-08-20 18:19:23.550000+00:00,-18.311,168.218,28.0,7.1,mww,usp000j6rj,Vanuatu,earthquake,reviewed,Vanuatu,7.1
